idcontrato;idAdjudicatario
Feira de CaÃ§a, Pesca e Desenvolvimento Rural â 2024;72400
10468098;502564504
10468184;511284047
10468209;502423250
10468243;516150359
10468254;RGPD
10468263;500136939
10468342;500697370
10468380;503901776
10468424;507927184
10468645;RGPD
10468753;510542948
10468768;502540141
10468911;505115093
10469043;502611308
10469101;513805141
10469134;503265560
10469157;512106444
10469396;500251118
10469435;504139533
10469493;504223933
10469494;514310715
10469554;514153652
10469593;503347345
10469617;504180746
10469637;517640112
10469719;504453939
10469753;517640112
10469775;502851473
10469784;502379707
10469786;507206568
10469807;502991771
10469831;517040697
10469832;500384436
10469874;508858860
10469914;504890778
10469956;504988964
10469974;513979611
10470098;513989137
10470107;RGPD
10470141;505042037
10470147;503640549
10470236;515040045
10470251;503502715
10470325;504139533
10470373;502041285
10470378;513574506
10470542;514803410
10470624;514879300
10470636;501339612
10470644;500692181
10470680;503935271
10470797;505538601
10470812;500077568
10470854;511151110
10470857;508038197
10470867;510502725
10470910;515673579
10470951;500697370
10470969;511060963
10471063;500748233
10471144;508906008
10471177;501456708
10471206;505051982
10471343;503089150
10471398;503583162
10471415;503239917
10471457;RGPD
10471564;509872069
10471722;505005468
10471801;RGPD
10471837;500231206
10471889;500883750
10471922;502544180
10472003;514519215
10472036;516387707
10472132;513495576
10472207;507938348
10472220;510119336
10472223;513718737
10472408;RGPD
10472445;507101359
10472644;RGPD
10472656;RGPD
10473028;504223933
10473031;516510657
nan;17595
10473096;505792362
10473155;501412727
10473207;RGPD
do municÃ­pio do Porto - Adju;57000
10473265;502376899
10473273;502544180
10473485;508559812
10473492;503664561
10473527;501901132
10473607;505318059
10473748;503538108
10473803;516829610
10473834;RGPD
10473856;503040630
10473965;513718737
10474043;502248793
10474069;508831989
10474113;507225740
10474144;508831989
10474155;504615947
10474186;RGPD
10474238;516077295
10474374;502216336
10474408;507328760
10474532;514170786
10474537;516529382
10474542;506782328
10474557;516160508
10474638;504081527
10474675;502501880
10474690;508741378
10474737;980087783
10474769;510782582
10474799;507155165
10474850;513718737
10475010;510476481
10475022;504379224
10475061;501748156
10475093;516641085
10475105;510082440
10475130;505202867
10475135;503112453
10475139;508831989
10475238;505025990
10475246;505005468
10475502;511162863
10475564;RGPD
10475574;503412031
10475622;503640549
10475734;502611057
10475879;506455874
10475958;RGPD
10475971;500247480
10476126;501402578
10476144;510255086
10476151;RGPD
10476191;512022100
nan;6528.12
10476211;501512071
10476216;503101435
10476218;502544180
10476349;517223147
10476499;501461396
10476544;501492542
10476568;510502725
10476582;514239093
10476645;509074472
10476670;500853975
10476823;500745749
10477104;RGPD
10477235;RGPD
10477256;510491200
10477279;RGPD
10477291;RGPD
10477353;RGPD
10477409;RGPD
CARAPAU;01/17/2024
ERVILHAS;01/17/2024
AGRIA;8495.8
NOZ ;222.44
GORDURA PARA FRITAR (Ã³leo de alta te;1424.3
CALDO DE GALINHA (EM PASTA;395.12
10477669;502337869
10478302;515007897
10478391;500280908
10478393;RGPD
10478637;503347345
10478934;500697370
10478986;515947598
10478998;516292471
10479005;515032409
10479041;RGPD
10479064;RGPD
10479096;RGPD
10479108;509130062
10479165;501863150
10479194;502734540
10479394;RGPD
10479415;RGPD
10479424;500216843
10479536;509912060
10479552;504594214
10479564;RGPD
10479575;504800485
10479606;500199906
10479667;RGPD
10479704;513851615
10479718;RGPD
10479739;RGPD
10479742;RGPD
10479877;RGPD
10479898;517478536
10479943;515815179
10479957;515430978
10479959;503604704
10480000;506416003
10480029;502942240
10480035;510347894
10480144;509245390
10480167;507068211
10480191;510466206
10480218;510730507
10480252;514344652
10480257;510170536
10480271;RGPD
10480278;503140600
10480298;RGPD
10480321;980519276
nan;90.43
10480413;501086110
10480457;504106880
10480476;500201307
10480491;508170710
10480557;RGPD
10480561;500589860
10480562;500384045
10480579;RGPD
10480603;RGPD
10480741;501984046
10480760;501326456
10480767;503497053
10480795;500153370
10480803;RGPD
10480805;500900469
10480813;B15726177
10480818;RGPD
10480826;502942240
10480952;513514872
10481002;500829993
10481038;RGPD
10481057;RGPD
10481068;503347345
10481118;504615947
10481136;506961141
10481151;RGPD
10481212;RGPD
10481216;RGPD
10481298;515134465
10481318;RGPD
10481327;RGPD
10481330;RGPD
10481352;RGPD
nan;169.8
10481438;501461108
10481449;509661831
10481503;RGPD
10481514;504847848
10481601;RGPD
10481702;517847566
10481726;RGPD
10481754;502587652
10481786;RGPD
10481822;RGPD
10481837;500140022
10481846;RGPD
10482061;508284872
10482122;517285770
10482125;507783727
10482144;503640549
10482151;510920039
10482186;506708616
10482324;503586307
nan;4000
10482444;500851298
10482564;501786082
10482580;RGPD
10482622;500074135
10482641;503788783
10482751;RGPD
10483627;510229050
10483655;514077263
10483784;504521861
10483791;RGPD
10483792;503604704
10483833;RGPD
10483872;501145923
10483946;504475606
10484020;501084789
10484032;508930782
10484054;514741007
10484071;502367644
10484146;505237431
10484241;RGPD
10484279;513280642
10484287;501314415
10484293;503579378
10484301;508107997
10484387;501679510
10484402;507155165
10484433;515618551
10484583;503934640
10484608;RGPD
10484617;500038589
10484642;RGPD
10484749;500940231
10484926;RGPD
10484936;500918880
10484993;508244153
10485008;500231206
10485229;500139962
10485255;RGPD
10485344;RGPD
10485368;501941231
10485399;507937422
10485432;502856408
10485456;RGPD
10485770;503526568
10485830;501116087
10485904;502996323
10485942;501506543
10485991;RGPD
10486056;RGPD
10486062;506378527
10486064;504081527
10486073;503281115
10486330;506126285
10486360;509461050
10486365;510269176
10486371;504458086
10486387;RGPD
10486410;980474710
10486412;RGPD
10486417;514267704
10486456;508954126
10486465;501782281
10486502;508792886
10486508;501387250
10486512;505506025
10486526;RGPD
10486593;510094937
10486609;507958861
10486628;503517585
10486681;RGPD
10486712;503369489
10486760;514503904
10486799;505501155
10486942;RGPD
10486951;504293753
10487019;501695729
10487167;RGPD
10487197;507928636
10487217;500139962
10487223;503554138
10487235;RGPD
10487317;503554138
Roadmap EstratÃ©gico 2030 da Ãguas e Energia do Porto;7875
10487376;502248793
10487388;503554138
10487441;506352927
10487487;517058219
10487508;503897787
10487603;RGPD
10487624;513351655
10487680;504615947
10464980;502990678
10465110;506550672
10465241;502493062
10465253;500136939
10465262;503075736
10465270;514023708
10465420;517611040
10465426;503559199
10465451;RGPD
10465460;510237649
10465495;501067337
10465530;503759716
10465576;502418826
10465623;980245974
10465692;504988964
10465704;RGPD
10465775;516096249
10465803;515331490
10465826;510501737
10465836;510920098
10465854;504223933
10465866;503934640
10465884;505804441
10465892;516621149
10465907;502248793
10465957;509717004
10465974;513452303
10466044;506468496
10466080;503536717
10466168;513373934
10466529;RGPD
10466921;501182225
10467020;RGPD
10467042;501689168
10467135;514366060
10467209;503347345
10467302;515724904
10467359;512069581
10467379;516571443
10467405;503000140
10467515;502650230
10467558;510399711
10467569;501904921
10467655;509972489
10467691;RGPD
10467845;510874606
10467933;514927410
10468112;500277532
10468128;515319031
10468146;RGPD
10468171;514386428
10468226;510171834
10468287;509870228
10468295;508831989
10468402;504197797
10468466;513875093
10468481;514957441
10468633;RGPD
10468669;504139533
10468729;501566007
10468748;510798381
10468772;512017271
10468918;503999377
10468922;505509148
10469042;501326456
10469077;RGPD
10469085;504236423
10469136;510525237
10469171;501488243
10469236;505968037
10469242;504813480
Alenquer, ao abrigo do Acordo-Quadro para a PrestaÃ§Ã£o de ServiÃ§os e Fornecime;150826.68
10469367;502414529
10469389;507437489
10469413;500697370
10469445;RGPD
10469523;508107997
10469545;504453939
10469590;503640549
10469605;500994102
10469621;509779824
10469652;502737174
10469659;517640112
10469695;517640112
10469708;500146780
10469724;501865969
10469729;517640112
10469733;RGPD
10469782;506819698
10469845;502442271
10469884;517640112
10469908;517640112
10469926;508831989
10469948;503640549
10469983;508775876
10469989;517298970
10470028;501689168
10470117;RGPD
10470148;502646802
10470220;RGPD
10470243;509711553
10470410;501522603
10470412;504362674
10470524;501773339
10470575;517077744
10470643;510982999
10470822;508189632
10470876;500074216
10470887;504527380
10470948;508831989
10470967;501072837
10471035;505051931
10471071;504137476
10471137;505368102
10471173;500940231
10471183;RGPD
10471282;503089150
10471295;501392416
10471306;RGPD
10471494;509577733
10471548;GB 713972818
10471611;506814661
10471649;501872329
10471674;513121870
10471681;501278699
10471717;510730507
10471746;514791241
10471759;510654550
10471784;509100007
10471850;509216170
10471978;510903010
